,R2,RMSE,MAE
Madinat Al Mataar,0.9543105912395818,1217.7013269696222,706.8417125561373
Nadd Hessa,0.9524031298216604,1054.1210377338075,698.7988157745053
Madinat Dubai Almelaheyah,0.9377883837699759,1175.2220011092631,733.3220953081621
Wadi Al Safa 5,0.9372497715166253,1037.8023530289026,657.591098982129
Bukadra,0.915601384246183,468.89529948396563,318.6464164082819
Al Thanyah Fifth,0.9091952488299403,2097.43790630575,1387.3093195340373
Al Barsha South Fourth,0.8979733863368433,1176.0785665673684,613.0033884392824
Business Bay,0.8903789906295531,2078.1081441934243,1275.6892543459514
Al Hebiah Fourth,0.8898943517092696,1418.721249772819,900.7572228254766
Al Barsha South Fifth,0.8826184767600359,1359.0333908905498,876.5567546818792
Marsa Dubai,0.8502347660269388,2927.703083060097,1833.151024167788
Al Barshaa South Third,0.8453203986622491,1202.9846537863864,722.6951197852475
Jabal Ali First,0.8424589272369849,1132.5980793418041,679.7973254456664
Me'Aisem First,0.84232763715161,1563.7694675263942,1079.9400413723597
Hadaeq Sheikh Mohammed Bin Rashid,0.8085559519493533,1937.1601971658188,1141.0132532538612
Al Yelayiss 2,0.7925956866199675,1212.7924465619226,717.266006936771
Burj Khalifa,0.7837373873665522,3487.751039564764,2199.807998350347
Al Khairan First,0.7748758913344547,2161.4113759221905,1315.9822694292716
Al Merkadh,0.7554665909152983,1712.4924167602487,978.5386742653504
Al Warsan First,0.47168258570946897,793.1630289743097,623.2548733185994
