,Proxy,area_name_en,area_lat,area_lon,nRecords,Average Meter Sale Price
0,Al Barsha South Fifth,Al Barsha South Fifth,25.04291825,55.18747333,9542,13537.579122825402
1,Al Barsha South Fourth,Al Barsha South Fourth,25.05936493,55.21207713,64920,12021.205302526187
2,Al Barshaa South Second,Al Barshaa South Second,25.07190314,55.23227541,7188,15219.816236783528
3,Al Barshaa South Third,Al Barshaa South Third,25.06209482,55.23443163,19105,12367.552791415861
4,Al Hebiah First,Al Hebiah First,25.04998492,55.23894687,9353,13837.847934352614
5,Al Hebiah Fourth,Al Hebiah Fourth,25.03502194,55.21354639,16593,9719.676409329235
6,Al Hebiah Third,Al Hebiah Third,25.02147288,55.26216265,7515,12627.456578842315
7,Al Jadaf,Al Jadaf,25.21430093,55.32735895,8600,14942.308638372093
8,Al Khairan First,Al Khairan First,25.19564786,55.36033252,22809,20257.914604322854
9,Al Merkadh,Al Barsha First,25.10849909,55.1923845,406,12804.801822660098
10,Al Merkadh,Al Goze Fourth,25.15204218,55.2538392,2367,6703.12312209548
11,Al Merkadh,Al Hebiah Fifth,25.00242864,55.24042905,6493,10844.606688741722
12,Al Merkadh,Al Hebiah Second,25.03836176,55.24784173,3479,12737.852768036793
13,Al Merkadh,Al Hebiah Sixth,25.02119178,55.26280555,326,11661.107269938651
14,Al Merkadh,Al Merkadh,25.16984676,55.29268975,31222,18338.727492793543
15,Al Merkadh,Madinat Hind 4,24.9981931,55.37157657,2653,11905.642110817942
16,Al Merkadh,Saih Shuaib 2,24.87549227,55.05686863,996,13054.866797188755
17,Al Merkadh,Wadi Al Safa 2,25.10606176,55.36153117,6186,8449.63540090527
18,Al Merkadh,Wadi Al Safa 4,25.07281915,55.31302736,3101,18530.405027410514
19,Al Merkadh,Wadi Al Safa 7,25.04253774,55.28449984,1498,8592.087476635514
20,Al Thanyah Fifth,Al Thanyah Fifth,25.051959,55.15578,24590,14322.76703904026
21,Al Thanyah Third,Al Thanyah Third,25.094255,55.161612,9049,12933.774119792242
22,Al Warsan First,Al Warsan First,25.1599767,55.4246648,16154,6406.80005757088
23,Al Warsan First,Nad Al Hamar,25.20191882,55.38446945,95,10615.386
24,Al Warsan First,Nad Al Shiba,25.1451203,55.3392738,1488,7437.043346774193
25,Al Warsan First,Nad Al Shiba First,25.14725852,55.30501384,3269,12080.687372285103
26,Al Wasl,Al Wasl,25.19685113,55.25356365,8528,21949.930412757974
27,Al Yelayiss 2,Al Yelayiss 2,24.99404911,55.29142486,12581,10993.164017963594
28,Bukadra,Al Kifaf,25.23424657,55.29696777,4096,18067.738571777343
29,Bukadra,Al Thanyah First,25.0987035,55.1725124,1099,11579.666742493175
30,Bukadra,Bukadra,25.1770677,55.3250371,7148,25643.979206771124
31,Bukadra,Rega Al Buteen,25.25944987,55.31737608,95,8628.870736842106
32,Bukadra,Um Hurair Second,25.23840744,55.32760641,88,21186.335113636364
33,Burj Khalifa,Al Safouh First,25.12303578,55.1792713,752,12050.664933510638
34,Burj Khalifa,Al Safouh Second,25.10001893,55.16360094,858,26800.48575757576
35,Burj Khalifa,Al Satwa,25.21992155,55.2742099,1128,21421.937943262412
36,Burj Khalifa,Burj Khalifa,25.19005375,55.27814093,30088,19662.62363467163
37,Burj Khalifa,Trade Center First,25.21780805,55.27795394,50,33585.0538
38,Burj Khalifa,Trade Center Second,25.21364395,55.28021207,354,12700.3597740113
39,Burj Khalifa,Zaabeel First,25.2229504,55.30536808,1714,28503.348757292883
40,Burj Khalifa,Zaabeel Second,25.1988826,55.29829935,3857,22716.181980814104
41,Business Bay,Business Bay,25.18762593,55.27989946,45605,20261.089165003836
42,Hadaeq Sheikh Mohammed Bin Rashid,Hadaeq Sheikh Mohammed Bin Rashid,25.1053253,55.26733804,24427,20044.068994555204
43,Jabal Ali First,Al Qusais Industrial Fourth,25.29346782,55.40008641,160,6773.583874999999
44,Jabal Ali First,Dubai Investment Park First,24.99222384,55.16651934,1664,8586.729681490384
45,Jabal Ali First,Dubai Investment Park Second,24.97551093,55.20975585,3219,13008.48414103759
46,Jabal Ali First,Jabal Ali,25.01126,55.06116,5013,7302.346632754838
47,Jabal Ali First,Jabal Ali First,25.03192836,55.14232708,18242,11728.860007674597
48,Jabal Ali First,Jabal Ali Industrial Second,24.95823558,55.10601052,2422,12292.782324525186
49,Jabal Ali First,Ras Al Khor Industrial First,25.17775008,55.33622108,3048,23668.458343175855
50,Madinat Al Mataar,Madinat Al Mataar,24.91892638,55.18015257,16486,13265.521519471067
51,Madinat Dubai Almelaheyah,Madinat Dubai Almelaheyah,25.266914,55.266119,9294,25066.690441144827
52,Marsa Dubai,Marsa Dubai,25.09547176,55.13076456,48059,16909.121982355024
53,Me'Aisem First,Me'Aisem First,25.0177834,55.18312486,15009,10858.309275101605
54,Nadd Hessa,Al Nahda First,25.28850649,55.36400769,124,2826.89
55,Nadd Hessa,Hessyan First,24.96920273,55.0250756,222,7653.6783783783785
56,Nadd Hessa,Mirdif,25.22331903,55.42166405,1475,11195.266827118645
57,Nadd Hessa,Muhaisanah First,25.24457265,55.42065575,959,12080.657862356622
58,Nadd Hessa,Nadd Hessa,25.12321,55.386619,13756,9621.771669816808
59,Nadd Hessa,Warsan Fourth,25.14379674,55.40635719,3649,8419.445489175116
60,Palm Jumeirah,Island 2,25.1985959,55.2240363,70,27362.391285714286
61,Palm Jumeirah,Jumeirah First,25.2249316,55.2584809,2511,22587.80733572282
62,Palm Jumeirah,Jumeirah Second,25.2075147,55.2394827,2,30981.445
