,Proxy,area_name_en,area_lat,area_lon,nRecords,Average Meter Sale Price
0,Al Merkadh,Al Barsha First,25.10849909,55.1923845,206,12726.925
1,Al Merkadh,Al Barsha South Fifth,25.04291825,55.18747333,9362,15069.45
2,Al Merkadh,Al Barsha South Fourth,25.05936493,55.21207713,58811,12840.47
3,Al Merkadh,Al Barshaa South Second,25.07190314,55.23227541,8717,16375.4
4,Al Merkadh,Al Barshaa South Third,25.06209482,55.23443163,16965,13090.53
5,Al Merkadh,Al Goze Fourth,25.15204218,55.2538392,865,6638.2
6,Al Merkadh,Al Hebiah Fifth,25.00242864,55.24042905,5077,10277.95
7,Al Merkadh,Al Hebiah First,25.04998492,55.23894687,9715,18694.42
8,Al Merkadh,Al Hebiah Fourth,25.03502194,55.21354639,11111,8930.83
9,Al Merkadh,Al Hebiah Second,25.03836176,55.24784173,3362,14220.73
10,Al Merkadh,Al Hebiah Sixth,25.02119178,55.26280555,219,11331.85
11,Al Merkadh,Al Hebiah Third,25.02147288,55.26216265,6371,13017.05
12,Al Merkadh,Al Merkadh,25.16984676,55.29268975,27123,19016.19
13,Al Merkadh,Al Yelayiss 2,24.99404911,55.29142486,9404,12079.985
14,Al Merkadh,Hadaeq Sheikh Mohammed Bin Rashid,25.1053253,55.26733804,21390,21963.785
15,Al Merkadh,Madinat Hind 4,24.9981931,55.37157657,2297,12609.46
16,Al Merkadh,Saih Shuaib 2,24.87549227,55.05686863,1186,14585.33
17,Al Merkadh,Wadi Al Safa 2,25.10606176,55.36153117,3729,10285.81
18,Al Merkadh,Wadi Al Safa 3,25.11569338,55.32337167,7983,13079.09
19,Al Merkadh,Wadi Al Safa 4,25.07281915,55.31302736,3743,19248.5
20,Al Merkadh,Wadi Al Safa 5,25.08232101,55.36365192,16975,12378.5
21,Al Merkadh,Wadi Al Safa 7,25.04253774,55.28449984,1481,9010.19
22,Al Warsan First,Al Jadaf,25.21430093,55.32735895,7758,16143.869999999999
23,Al Warsan First,Al Warsan First,25.1599767,55.4246648,9116,5516.195
24,Al Warsan First,Nad Al Hamar,25.20191882,55.38446945,112,10511.115000000002
25,Al Warsan First,Nad Al Shiba,25.1451203,55.3392738,903,6833.08
26,Al Warsan First,Nad Al Shiba First,25.14725852,55.30501384,2210,13595.31
27,Bukadra,Al Kifaf,25.23424657,55.29696777,3798,19145.715
28,Bukadra,Al Thanyah Fifth,25.051959,55.15578,19364,13901.19
29,Bukadra,Al Thanyah First,25.0987035,55.1725124,650,10088.97
30,Bukadra,Al Thanyah Third,25.094255,55.161612,5587,13544.34
31,Bukadra,Bukadra,25.1770677,55.3250371,7922,25994.85
32,Bukadra,Madinat Dubai Almelaheyah,25.266914,55.266119,11527,26447.26
33,Bukadra,Rega Al Buteen,25.25944987,55.31737608,51,7580.17
34,Bukadra,Um Hurair Second,25.23840744,55.32760641,39,17081.8
35,Burj Khalifa,Al Safouh First,25.12303578,55.1792713,494,12593.67
36,Burj Khalifa,Al Safouh Second,25.10001893,55.16360094,1418,29036.370000000003
37,Burj Khalifa,Al Satwa,25.21992155,55.2742099,1445,22077.76
38,Burj Khalifa,Al Wasl,25.19685113,55.25356365,7869,25911.25
39,Burj Khalifa,Burj Khalifa,25.19005375,55.27814093,24274,22976.425000000003
40,Burj Khalifa,Trade Center First,25.21780805,55.27795394,361,39404.0
41,Burj Khalifa,Trade Center Second,25.21364395,55.28021207,955,49207.69
42,Burj Khalifa,Zaabeel First,25.2229504,55.30536808,2100,29391.29
43,Burj Khalifa,Zaabeel Second,25.1988826,55.29829935,2640,26162.125
44,Business Bay,Business Bay,25.18762593,55.27989946,42409,22028.18
45,Jabal Ali First,Al Qusais Industrial Fourth,25.29346782,55.40008641,28,6945.48
46,Jabal Ali First,Dubai Investment Park First,24.99222384,55.16651934,1070,8918.895
47,Jabal Ali First,Dubai Investment Park Second,24.97551093,55.20975585,4248,15668.825
48,Jabal Ali First,Jabal Ali,25.01126,55.06116,3059,6860.47
49,Jabal Ali First,Jabal Ali First,25.03192836,55.14232708,15649,12488.28
50,Jabal Ali First,Jabal Ali Industrial Second,24.95823558,55.10601052,1894,13353.27
51,Jabal Ali First,Me'Aisem First,25.0177834,55.18312486,12156,11944.275000000001
52,Jabal Ali First,Ras Al Khor Industrial First,25.17775008,55.33622108,3147,23303.91
53,Madinat Al Mataar,Madinat Al Mataar,24.91892638,55.18015257,13984,15397.475
54,Nadd Hessa,Al Khairan First,25.19564786,55.36033252,18881,22274.33
55,Nadd Hessa,Al Nahda First,25.28850649,55.36400769,234,2826.89
56,Nadd Hessa,Hessyan First,24.96920273,55.0250756,117,5769.73
57,Nadd Hessa,Mirdif,25.22331903,55.42166405,1258,12364.42
58,Nadd Hessa,Muhaisanah First,25.24457265,55.42065575,924,12398.849999999999
59,Nadd Hessa,Nadd Hessa,25.12321,55.386619,9586,9286.005
60,Nadd Hessa,Warsan Fourth,25.14379674,55.40635719,3507,8601.55
61,Palm Jumeirah,Island 2,25.1985959,55.2240363,245,79745.99
62,Palm Jumeirah,Jumeirah First,25.2249316,55.2584809,1982,25339.699999999997
63,Palm Jumeirah,Jumeirah Second,25.2075147,55.2394827,325,65713.03
64,Palm Jumeirah,Marsa Dubai,25.09547176,55.13076456,42071,21140.37
65,Palm Jumeirah,Palm Deira,25.33227698,55.2704399,5014,25220.065
66,Palm Jumeirah,Palm Jumeirah,25.1193271,55.1317401,10855,23034.4
67,Palm Jumeirah,Um Suqaim Third,25.14280454,55.18731602,3484,24502.635000000002
