,Proxy,area_name_en,area_lat,area_lon,nRecords,Average Meter Sale Price
0,Al Barshaa South Third,Al Barsha First,25.10849909,55.1923845,432,13622.73
1,Al Barshaa South Third,Al Barsha South Fifth,25.04291825,55.18747333,11292,14492.77
2,Al Barshaa South Third,Al Barsha South Fourth,25.05936493,55.21207713,69205,11998.9
3,Al Barshaa South Third,Al Barshaa South Second,25.07190314,55.23227541,9183,16193.72
4,Al Barshaa South Third,Al Barshaa South Third,25.06209482,55.23443163,20169,12562.81
5,Al Barshaa South Third,Al Goze Fourth,25.15204218,55.2538392,2501,7103.84
6,Al Barshaa South Third,Al Hebiah Fifth,25.00242864,55.24042905,6791,9372.28
7,Al Barshaa South Third,Al Hebiah First,25.04998492,55.23894687,11190,13074.66
8,Al Barshaa South Third,Al Hebiah Fourth,25.03502194,55.21354639,17413,8961.01
9,Al Barshaa South Third,Al Hebiah Second,25.03836176,55.24784173,3889,13526.57
10,Al Barshaa South Third,Al Hebiah Sixth,25.02119178,55.26280555,329,11976.48
11,Al Barshaa South Third,Al Hebiah Third,25.02147288,55.26216265,8098,13001.810000000001
12,Al Barshaa South Third,Al Yelayiss 2,24.99404911,55.29142486,13195,11211.0
13,Al Barshaa South Third,Hadaeq Sheikh Mohammed Bin Rashid,25.1053253,55.26733804,25362,20576.055
14,Al Barshaa South Third,Madinat Hind 4,24.9981931,55.37157657,2700,12417.535
15,Al Barshaa South Third,Saih Shuaib 2,24.87549227,55.05686863,1240,14531.165
16,Al Barshaa South Third,Wadi Al Safa 2,25.10606176,55.36153117,6618,7767.764999999999
17,Al Barshaa South Third,Wadi Al Safa 3,25.11569338,55.32337167,8833,12571.12
18,Al Barshaa South Third,Wadi Al Safa 4,25.07281915,55.31302736,3743,19248.5
19,Al Barshaa South Third,Wadi Al Safa 5,25.08232101,55.36365192,18584,11793.345000000001
20,Al Barshaa South Third,Wadi Al Safa 7,25.04253774,55.28449984,1560,8961.91
21,Business Bay,Al Safouh First,25.12303578,55.1792713,832,12140.64
22,Business Bay,Al Safouh Second,25.10001893,55.16360094,1418,29036.370000000003
23,Business Bay,Al Satwa,25.21992155,55.2742099,1445,22077.76
24,Business Bay,Al Wasl,25.19685113,55.25356365,10142,23142.41
25,Business Bay,Trade Center First,25.21780805,55.27795394,361,39404.0
26,Business Bay,Trade Center Second,25.21364395,55.28021207,1105,48342.64
27,Business Bay,Zaabeel First,25.2229504,55.30536808,2100,29391.29
28,Business Bay,Zaabeel Second,25.1988826,55.29829935,4172,22678.085
29,Madinat Dubai Almelaheyah,Al Kifaf,25.23424657,55.29696777,4219,18310.68
30,Madinat Dubai Almelaheyah,Al Thanyah Fifth,25.051959,55.15578,25689,12195.03
31,Madinat Dubai Almelaheyah,Al Thanyah First,25.0987035,55.1725124,1189,10473.45
32,Madinat Dubai Almelaheyah,Al Thanyah Third,25.094255,55.161612,9291,12532.98
33,Madinat Dubai Almelaheyah,Bukadra,25.1770677,55.3250371,7922,25994.85
34,Madinat Dubai Almelaheyah,Madinat Dubai Almelaheyah,25.266914,55.266119,11562,26417.57
35,Madinat Dubai Almelaheyah,Rega Al Buteen,25.25944987,55.31737608,98,8380.935000000001
36,Madinat Dubai Almelaheyah,Um Hurair Second,25.23840744,55.32760641,100,21960.105000000003
37,Marsa Dubai,Island 2,25.1985959,55.2240363,449,42963.14
38,Marsa Dubai,Jumeirah First,25.2249316,55.2584809,2826,22761.43
39,Marsa Dubai,Jumeirah Second,25.2075147,55.2394827,325,65713.03
40,Marsa Dubai,Marsa Dubai,25.09547176,55.13076456,59391,17879.49
41,Marsa Dubai,Palm Deira,25.33227698,55.2704399,5014,25220.065
42,Marsa Dubai,Palm Jumeirah,25.1193271,55.1317401,15930,18846.22
43,Marsa Dubai,Um Suqaim Third,25.14280454,55.18731602,3917,23711.55
44,Me'Aisem First,Al Qusais Industrial Fourth,25.29346782,55.40008641,161,7325.24
45,Me'Aisem First,Dubai Investment Park First,24.99222384,55.16651934,1816,8265.8
46,Me'Aisem First,Dubai Investment Park Second,24.97551093,55.20975585,4714,15534.919999999998
47,Me'Aisem First,Jabal Ali,25.01126,55.06116,5175,7142.86
48,Me'Aisem First,Jabal Ali First,25.03192836,55.14232708,19858,11903.814999999999
49,Me'Aisem First,Jabal Ali Industrial Second,24.95823558,55.10601052,2496,13344.255000000001
50,Me'Aisem First,Me'Aisem First,25.0177834,55.18312486,16012,10902.775
51,Me'Aisem First,Ras Al Khor Industrial First,25.17775008,55.33622108,3147,23303.91
