,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en,instance_date
5931,11031.1,65.27,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-07-19
10929,5005.26,36.34,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-04-25
21181,6918.96,54.17,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-24
100698,19455.24,30.54,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-09
35946,12347.54,55.33,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2023-01-05
154841,12171.14,37.15,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-28
307960,10298.37,173.04,3 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-08-22
291175,5498.45,103.12,2 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2024-08-07
135128,7776.05,77.16,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-03-01
110574,16385.33,65.56,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-08-22
194022,7917.55,80.29,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-09-14
271795,12873.61,35.17,Studio,1-10,0,1,1,1,1,Al Barsha South Fifth,2025-05-26
75926,14273.57,61.79,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-03-11
257197,16023.55,65.48,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-09
159775,17055.41,32.55,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-09-09
85787,18549.49,28.12,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-06-28
45887,10171.46,103.23,2 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2025-02-28
276658,15543.09,54.1,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-03-11
266926,10133.77,98.68,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-06-16
