,area_name_en,instance_date,meter_sale_price
0,Burj Khalifa,2024-02-14,26698.01
1,Burj Khalifa,2023-12-19,26213.08
2,Burj Khalifa,2023-10-31,28423.97
3,Burj Khalifa,2024-02-29,27621.73
4,Burj Khalifa,2023-11-01,32730.7
5,Marsa Dubai,2016-10-25,4549.3
6,Marsa Dubai,2022-08-25,10361.47
7,Marsa Dubai,2022-08-29,9521.71
8,Marsa Dubai,2021-06-24,10148.63
9,Marsa Dubai,2016-10-17,10528.26
10,Marsa Dubai,2018-01-16,7169.12
11,Marsa Dubai,2016-03-21,9037.79
12,Marsa Dubai,2022-05-30,9630.34
13,Marsa Dubai,2018-02-15,9512.2
14,Marsa Dubai,2024-04-04,10205.09
15,Marsa Dubai,2023-06-07,14222.39
16,Al Thanyah Fifth,2023-09-12,8965.88
17,Al Thanyah Fifth,2017-02-20,9167.06
18,Al Thanyah Fifth,2016-09-05,10440.94
19,Al Thanyah Fifth,2016-04-19,12799.2
20,Al Thanyah Fifth,2018-01-15,12924.91
21,Al Thanyah Fifth,2016-03-29,9763.51
22,Al Thanyah Fifth,2025-06-30,18124.59
23,Al Thanyah Fifth,2017-02-07,18016.06
24,Al Thanyah Fifth,2022-08-23,12106.54
25,Al Thanyah Fifth,2017-07-10,15919.9
26,Al Thanyah Fifth,2016-11-14,6077.16
27,Al Thanyah Fifth,2016-05-12,17775.75
28,Al Thanyah Fifth,2017-02-06,18055.56
29,Al Thanyah Fifth,2022-08-09,6607.76
30,Al Thanyah Fifth,2017-05-15,12177.25
31,Al Thanyah Fifth,2025-03-06,17529.88
32,Al Thanyah Fifth,2016-10-31,5679.3
33,Al Thanyah Fifth,2025-04-08,15585.51
34,Al Thanyah Fifth,2022-01-21,8182.07
35,Al Thanyah Fifth,2019-07-09,15873.02
36,Al Thanyah Fifth,2020-09-03,3740.56
37,Al Thanyah Fifth,2022-06-22,12721.15
38,Al Thanyah Fifth,2018-09-10,7312.41
39,Marsa Dubai,2017-04-25,10140.12
40,Marsa Dubai,2019-12-26,7590.34
41,Marsa Dubai,2020-08-07,8166.12
42,Marsa Dubai,2023-05-15,11064.79
43,Marsa Dubai,2022-09-20,10649.63
44,Marsa Dubai,2019-04-19,16145.84
45,Marsa Dubai,2024-05-16,13939.52
46,Marsa Dubai,2022-09-20,12720.33
47,Marsa Dubai,2024-06-12,17928.37
48,Marsa Dubai,2021-12-27,13403.71
49,Marsa Dubai,2016-01-13,14467.39
50,Marsa Dubai,2024-07-30,10730.77
51,Marsa Dubai,2022-01-25,9749.55
52,Marsa Dubai,2018-03-05,788.57
53,Marsa Dubai,2024-07-24,16936.96
54,Marsa Dubai,2017-03-27,12916.68
55,Marsa Dubai,2021-01-27,7572.32
56,Marsa Dubai,2021-09-16,9086.78
57,Marsa Dubai,2021-03-03,7818.22
58,Al Thanyah Fifth,2018-02-19,5851.03
59,Al Thanyah Fifth,2016-03-08,10411.19
60,Al Thanyah Fifth,2021-02-04,6149.01
61,Al Thanyah Fifth,2024-12-23,9663.05
62,Al Thanyah Fifth,2024-02-26,9179.86
63,Al Thanyah Fifth,2016-10-12,8767.77
64,Al Thanyah Fifth,2024-09-13,10118.9
65,Al Thanyah Fifth,2021-01-25,7708.12
66,Al Thanyah Fifth,2020-12-14,8307.0
67,Al Thanyah Fifth,2018-11-13,11450.38
68,Al Thanyah Fifth,2018-11-05,10049.1
69,Al Thanyah Fifth,2021-06-09,7716.45
70,Al Thanyah Fifth,2022-07-13,9393.68
71,Al Thanyah Fifth,2021-04-28,8601.31
72,Al Thanyah Fifth,2018-07-10,11051.88
73,Al Thanyah Fifth,2016-08-09,11944.93
74,Al Thanyah Fifth,2017-01-30,11015.91
75,Al Thanyah Fifth,2018-12-04,11356.22
76,Al Thanyah Fifth,2016-10-11,11137.39
77,Al Thanyah Fifth,2018-05-22,11840.29
78,Al Thanyah Fifth,2017-11-15,14106.93
79,Al Thanyah Fifth,2016-08-22,13681.26
80,Al Thanyah Fifth,2021-10-20,6010.52
81,Al Thanyah Fifth,2024-12-09,15522.5
82,Marsa Dubai,2024-03-19,15127.12
83,Marsa Dubai,2025-06-03,17192.99
84,Marsa Dubai,2016-12-27,19429.33
85,Marsa Dubai,2017-06-22,19375.02
86,Marsa Dubai,2017-05-15,15829.25
87,Marsa Dubai,2024-06-13,16491.89
88,Marsa Dubai,2019-08-07,8882.16
89,Marsa Dubai,2024-11-14,14228.24
90,Marsa Dubai,2016-11-30,11450.38
91,Marsa Dubai,2023-03-31,13520.23
92,Marsa Dubai,2025-04-17,10572.83
93,Marsa Dubai,2017-08-08,7423.46
94,Marsa Dubai,2024-05-03,9295.67
95,Marsa Dubai,2025-04-25,15570.88
96,Marsa Dubai,2023-03-28,18152.43
97,Marsa Dubai,2020-08-27,6989.71
98,Marsa Dubai,2023-10-23,10714.13
99,Marsa Dubai,2024-12-05,4784.62
100,Marsa Dubai,2017-12-05,4214.85
